months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_hobbies,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported,policy_bind_year
351,49,IL,A,500,1399.0,1000000,FEMALE,MD,exercise,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,22,3,NO,2,2,NO,4200,12600,62650,Jeep,2009,N,1992
264,46,IN,C,500,1444.84,0,MALE,Masters,bungie-jumping,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,17,4,YES,1,3,YES,0,1640,20230,Chevrolet,2013,N,1996
248,48,OH,A,2000,1854.37,1000000,MALE,Associate,chess,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,16,1,NO,1,3,YES,6890,13700,81670,Nissan,1997,N,2009
20,24,IL,B,1000,1636.34,0,FEMALE,JD,golf,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,16,1,YES,0,2,YES,5900,10400,57100,Saab,2010,N,1999
156,27,IN,A,2000,1829.84,0,MALE,PhD,hiking,Single Vehicle Collision,Side Collision,Minor Damage,Police,VA,18,1,YES,1,3,YES,14760,15000,46600,Jeep,2005,N,1991
333,45,IL,C,500,1334.25,0,MALE,High School,base-jumping,Single Vehicle Collision,Front Collision,Total Loss,Other,NC,5,1,NO,1,0,YES,10190,11990,34750,Ford,2005,N,1990
239,23,IN,C,2000,1071.62,0,FEMALE,JD,hiking,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,VA,15,4,?,2,3,YES,15200,4600,53790,Jeep,2001,N,2009
248,41,IL,A,2000,1365.06,6000000,FEMALE,High School,skydiving,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,14,2,NO,3,1,NO,16300,13980,75600,Chevrolet,1998,N,2008
227,50,OH,A,2000,1520.74,2000000,FEMALE,MD,basketball,Single Vehicle Collision,Front Collision,Total Loss,Police,SC,18,1,NO,1,2,NO,6500,7200,30300,Mercedes,2004,N,1993
298,65,IL,A,500,1733.29,0,FEMALE,MD,kayaking,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,10,3,YES,1,3,NO,6400,10800,47600,Saab,2008,N,1996
172,26,IL,A,2000,1124.07,0,MALE,MD,paintball,Multi-vehicle Collision,Rear Collision,Major Damage,Police,OH,20,2,?,1,1,NO,6450,12400,54400,Nissan,2002,N,2004
352,47,IL,A,1000,1343.78,0,FEMALE,MD,kayaking,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,14,3,YES,2,2,NO,11000,7540,39100,Saab,2009,N,1996
341,58,OH,B,1000,1072.05,2000000,FEMALE,JD,movies,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,14,1,?,0,3,YES,8500,3400,19170,Mercedes,2002,N,1991
61,38,IL,A,500,1684.09,1000000,FEMALE,PhD,golf,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,21,1,NO,1,1,YES,6280,0,1100,Toyota,2013,N,1997
220,37,IL,A,1000,1224.19,0,MALE,JD,movies,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,5,2,?,1,1,YES,19100,10000,41890,Audi,2008,N,2001
141,39,IL,A,2000,972.94,0,FEMALE,MD,paintball,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,13,3,YES,1,3,NO,9500,2890,7480,Saab,2013,N,2008
420,52,OH,B,1000,1397.32,7000000,MALE,MD,bungie-jumping,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,12,2,?,1,4,YES,15500,6100,80980,Nissan,1993,N,2004
286,53,OH,A,2000,1330.37,0,MALE,MD,reading,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,9,1,NO,0,1,NO,6380,8090,63020,Toyota,2004,N,1990
354,39,IN,C,1000,1314.03,1000000,MALE,Masters,kayaking,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,13,2,NO,0,0,NO,2500,10320,26010,Saab,2008,N,2014
322,47,IL,B,2000,1261.67,0,FEMALE,MD,cross-fit,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,9,1,?,0,0,YES,5900,6900,50000,Saab,2012,N,2013
235,32,IL,A,2000,1220.53,0,FEMALE,College,paintball,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,14,5,?,3,1,NO,12460,12400,34000,Dodge,2009,N,2005
195,29,IL,A,2000,1237.63,0,MALE,Masters,camping,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,9,2,?,0,2,NO,9020,10900,61550,BMW,1998,N,2001
230,52,OH,A,1000,1174.1,1000000,MALE,MD,reading,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,1,1,NO,1,2,NO,10500,8520,57100,Toyota,2011,N,1990
73,33,IL,B,2000,1523.92,0,MALE,PhD,yachting,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,17,2,YES,0,2,NO,17120,5300,39650,Saab,2009,N,1993
160,30,IL,A,2000,1171.92,0,FEMALE,Associate,exercise,Single Vehicle Collision,Side Collision,Major Damage,Other,WV,7,1,YES,1,2,NO,11100,15700,53400,Nissan,2002,N,2009
54,42,OH,B,2000,1031.76,0,FEMALE,College,movies,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,10,3,?,1,0,YES,4290,5230,39310,Dodge,2005,N,1997
341,50,IN,C,1000,1276.78,0,FEMALE,Masters,base-jumping,Single Vehicle Collision,Rear Collision,Total Loss,Other,NY,20,2,NO,0,2,YES,12900,7900,34250,Saab,2006,N,1995
216,40,OH,C,2000,1302.44,0,MALE,MD,exercise,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,WV,13,1,?,0,3,YES,9900,15300,30300,Toyota,2003,N,1994
102,25,IL,B,500,1263.97,0,FEMALE,JD,golf,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,22,2,YES,0,2,YES,11170,4790,55420,Saab,2008,N,1999
131,28,IN,A,1000,1484.37,5000000,FEMALE,High School,polo,Single Vehicle Collision,Side Collision,Minor Damage,Police,NC,19,1,?,1,0,NO,8420,8300,54220,Nissan,2003,N,1999
180,48,IL,C,1000,957.46,1000000,FEMALE,High School,yachting,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,19,1,YES,0,1,NO,4570,7500,16120,Chevrolet,1991,N,2002
50,30,IL,C,1000,1226.25,5000000,FEMALE,MD,hiking,Single Vehicle Collision,Side Collision,Total Loss,Police,PA,1,1,NO,2,0,NO,9350,5050,20670,Dodge,2013,N,1996
97,36,IN,A,1000,1530.66,0,MALE,JD,exercise,Single Vehicle Collision,Rear Collision,Major Damage,Police,NC,10,2,YES,1,4,YES,0,9100,55300,Ford,2001,N,2009
254,31,OH,A,500,1361.21,0,FEMALE,JD,hiking,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,1,1,?,2,0,YES,4070,0,35400,Suburu,2005,N,1994
235,47,OH,C,2000,1210.41,0,FEMALE,PhD,yachting,Multi-vehicle Collision,Side Collision,Total Loss,Other,VA,13,3,?,1,0,YES,11340,0,41600,Saab,2002,N,2003
252,48,IN,C,2000,800.79,6000000,FEMALE,PhD,base-jumping,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,3,1,?,1,2,YES,15600,5150,24200,Mercedes,2003,N,1999
247,42,IL,B,500,1349.28,0,MALE,High School,movies,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,4,2,?,1,1,YES,6290,5960,21800,BMW,2002,N,1999
193,33,IL,A,500,1230.41,4000000,FEMALE,High School,reading,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NY,18,3,NO,0,3,NO,12200,5980,22600,Saab,2005,N,2012
100,43,IN,B,500,759.08,0,FEMALE,MD,camping,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,21,2,NO,0,1,NO,12000,11600,25500,Suburu,1997,N,2008
503,73,IN,C,2000,1105.33,0,FEMALE,High School,skydiving,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,8,2,?,2,2,NO,12770,15040,55710,Nissan,2003,N,2006
451,50,IL,B,2000,1344.74,3000000,FEMALE,PhD,kayaking,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,16,1,?,0,2,YES,7900,11900,45400,Chevrolet,2009,N,2001
111,27,OH,B,2000,1046.74,0,MALE,High School,paintball,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,6,1,NO,2,3,NO,13780,13900,19290,Accura,2007,N,1994
128,36,OH,A,500,1305.57,2000000,MALE,Associate,reading,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,4,3,YES,0,3,NO,3210,7800,24400,Nissan,2004,N,2010
117,39,OH,C,500,1366.37,3000000,FEMALE,PhD,reading,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,1,2,?,2,2,NO,8400,12290,37440,Volkswagen,2007,N,2002
300,23,OH,B,1000,1103.41,1000000,MALE,MD,reading,Single Vehicle Collision,Side Collision,Total Loss,Police,PA,10,1,NO,0,0,NO,7870,8300,52980,Dodge,1998,N,1999
174,46,IN,C,500,1230.84,1000000,MALE,Masters,kayaking,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,17,1,NO,0,1,NO,1600,8400,13000,Saab,2015,N,2014
385,46,OH,A,2000,1069.38,1000000,FEMALE,PhD,exercise,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,1,2,NO,2,2,YES,16040,17020,97200,Saab,2004,N,1991
212,30,OH,B,2000,1026.81,0,FEMALE,JD,paintball,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,16,2,NO,0,3,YES,5830,400,5600,Jeep,2008,N,2005
174,27,IL,B,500,741.56,1000000,MALE,JD,video-games,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,SC,13,2,?,0,4,YES,10580,600,38730,Suburu,2014,N,2002
307,45,IL,C,500,1062.01,1000000,MALE,JD,basketball,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,22,4,NO,0,3,NO,7800,6600,41440,Honda,1997,N,1993
38,34,OH,A,1000,1961.46,0,FEMALE,High School,bungie-jumping,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,20,3,NO,2,1,NO,14400,5380,56900,Ford,2006,N,2001
63,17,OH,C,1000,1233.69,2000000,MALE,College,hiking,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,0,2,?,1,1,YES,5600,7000,47200,Nissan,2008,N,2005
318,36,OH,B,2000,1640.77,1000000,MALE,Masters,camping,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,OH,22,2,?,1,3,YES,6700,7100,48050,Chevrolet,2002,N,1991
53,31,OH,B,2000,977.6,0,FEMALE,College,movies,Multi-vehicle Collision,Front Collision,Total Loss,Other,NC,6,5,YES,0,1,NO,10500,15000,72600,Accura,1996,N,2008
200,37,OH,B,500,1245.31,4000000,MALE,College,sleeping,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,6,2,NO,2,0,NO,2720,8350,22700,Chevrolet,2008,N,2010
280,57,IL,B,500,1557.08,0,MALE,Masters,bungie-jumping,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,21,1,YES,3,1,NO,5490,9220,52600,Honda,2014,N,2005
283,40,IN,C,1000,657.08,4000000,MALE,Masters,kayaking,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,13,1,NO,0,0,NO,8070,18800,3920,Saab,2011,N,2014
352,41,IL,C,2000,1186.95,3000000,FEMALE,Masters,bungie-jumping,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,13,1,YES,2,3,YES,12400,6570,49060,Toyota,2003,N,2000
274,46,IL,A,2000,1122.37,4000000,FEMALE,High School,kayaking,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,VA,3,3,NO,3,1,YES,8900,11080,43920,Suburu,2007,N,2013
57,36,OH,A,500,924.89,1000000,MALE,Masters,sleeping,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NC,13,2,NO,0,3,NO,13090,0,15500,Dodge,2001,N,2003
253,39,IN,A,2000,892.61,0,FEMALE,Masters,reading,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NY,16,1,?,1,0,NO,11200,11380,65500,Chevrolet,2008,N,2010
362,54,IL,B,500,1682.24,0,MALE,Associate,exercise,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NC,17,1,YES,1,1,NO,14400,5920,48590,Chevrolet,2009,N,2013
223,26,IL,A,2000,1011.65,3000000,FEMALE,Associate,exercise,Single Vehicle Collision,Side Collision,Major Damage,Other,WV,14,1,YES,1,2,NO,10300,12700,34500,Nissan,2011,N,2009
109,33,IL,C,1000,1172.44,4000000,FEMALE,MD,hiking,Single Vehicle Collision,Side Collision,Total Loss,Police,PA,8,1,NO,2,1,NO,4100,15810,36300,Dodge,2008,N,1996
36,37,IN,A,1000,1714.37,2000000,MALE,JD,exercise,Single Vehicle Collision,Rear Collision,Major Damage,Police,NC,18,2,YES,1,3,YES,0,5010,51500,Ford,2008,N,2009
61,36,IN,A,500,1509.31,0,FEMALE,Masters,kayaking,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,NY,21,2,YES,1,1,NO,7880,6600,57280,Toyota,2005,N,2006
296,30,IL,B,2000,754.16,0,MALE,College,reading,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,13,2,YES,2,1,YES,13920,14550,38240,Audi,2012,N,2006
168,42,IN,B,1000,1581.62,0,MALE,MD,cross-fit,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,WV,1,1,YES,2,2,NO,5300,12570,52520,Toyota,2010,N,2000
152,45,OH,C,500,1257.86,0,FEMALE,College,kayaking,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,10,2,?,1,1,YES,11430,19740,30840,Honda,1999,N,2005
210,43,OH,B,1000,1048.67,2000000,FEMALE,College,dancing,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,11,3,?,2,3,YES,12270,4100,37480,Nissan,2000,N,2000
214,32,IL,C,500,815.34,0,MALE,Associate,camping,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,6,1,YES,2,1,NO,4700,14830,60200,Dodge,1999,N,1998
42,36,OH,B,500,759.58,0,FEMALE,PhD,paintball,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NC,13,1,YES,1,1,YES,60,6220,15620,Toyota,2013,N,2002
279,53,IN,A,1000,978.13,0,FEMALE,JD,kayaking,Single Vehicle Collision,Rear Collision,Total Loss,Police,VA,9,1,NO,0,1,YES,23260,13200,41320,Nissan,2007,N,1992
247,62,OH,A,1000,997.27,1000000,FEMALE,JD,base-jumping,Multi-vehicle Collision,Rear Collision,Total Loss,Police,NY,2,3,NO,0,4,NO,4890,3900,36100,Suburu,2001,N,2008
239,31,IL,B,500,1330.88,0,FEMALE,Masters,polo,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,PA,22,2,NO,2,1,YES,17600,17850,64600,Mercedes,2011,N,2003
428,60,IL,C,2000,1344.13,7000000,MALE,Associate,base-jumping,Single Vehicle Collision,Rear Collision,Major Damage,Other,NY,0,1,?,0,2,YES,3340,4600,53800,Audi,1997,N,2011
345,57,OH,C,1000,1166.72,3000000,FEMALE,MD,polo,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,20,1,NO,2,2,NO,5000,7200,42830,Mercedes,2000,N,2002
297,34,IL,B,500,1160.91,0,MALE,JD,hiking,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,13,1,?,2,2,YES,14600,9660,52150,Nissan,2003,N,2004
39,40,OH,B,1000,1781.76,1000000,MALE,JD,hiking,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,5,1,YES,0,2,NO,5500,4970,36600,Audi,1992,N,1993
395,44,IL,B,2000,932.27,2000000,MALE,PhD,hiking,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,15,3,NO,2,0,YES,16200,18020,98050,BMW,2002,N,1996
105,26,OH,A,1000,1134.13,2000000,FEMALE,Masters,golf,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,13,4,YES,0,1,YES,7400,9290,42290,Suburu,1993,N,2003
174,39,IL,B,2000,1003.94,0,MALE,Masters,golf,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,23,2,NO,1,1,NO,10000,5860,22850,BMW,2013,N,2010
352,52,OH,B,1000,1422.49,0,FEMALE,JD,movies,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,14,1,?,1,3,YES,5360,510,44580,Mercedes,2001,N,1991
269,47,IL,A,500,1553.48,1000000,FEMALE,Masters,reading,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,6,4,?,0,3,NO,2000,19500,70150,BMW,2005,N,1990
161,32,IN,A,500,709.13,9000000,MALE,MD,exercise,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,20,1,NO,2,1,YES,11800,500,34480,Chevrolet,2003,N,1993
391,51,OH,B,500,1048.2,2000000,MALE,JD,camping,Single Vehicle Collision,Front Collision,Minor Damage,Police,WV,19,1,?,2,3,YES,6800,9600,49400,Honda,2010,N,2007
315,50,IL,C,1000,806.49,0,FEMALE,High School,yachting,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,23,1,YES,1,1,NO,5500,10450,39400,Chevrolet,1994,N,2002
55,43,IL,B,1000,1546.92,0,FEMALE,Associate,chess,Single Vehicle Collision,Rear Collision,Total Loss,Other,NY,10,1,?,1,1,YES,8810,10840,25400,BMW,1992,N,1996
37,36,OH,C,500,1297.17,6000000,FEMALE,PhD,reading,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,9,2,?,3,2,NO,6740,13820,60910,Volkswagen,2007,N,2002
55,36,OH,B,500,1447.27,4000000,FEMALE,Masters,bungie-jumping,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NC,4,3,?,2,2,YES,5800,12710,47900,Suburu,1993,N,2003
280,56,IL,C,500,1377.91,0,FEMALE,High School,basketball,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NC,19,4,?,1,3,YES,17100,4400,73600,Toyota,1994,N,2013
375,55,IN,C,1000,1086.51,1000000,MALE,Masters,sleeping,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,VA,13,1,NO,2,1,YES,6200,5440,62000,Toyota,2008,N,2008
222,38,IL,C,500,1599.08,2000000,MALE,College,bungie-jumping,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,5,1,NO,2,1,NO,3510,20440,45130,Suburu,2000,N,1995
170,42,IN,C,2000,1708.16,1000000,FEMALE,High School,camping,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,10,3,?,2,0,NO,2360,2210,45000,Nissan,2011,N,1992
125,48,IL,C,500,2041.57,0,FEMALE,MD,yachting,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,4,2,?,2,2,YES,15100,12760,44530,BMW,2013,N,1991
64,36,IN,B,1000,1438.54,0,FEMALE,Associate,basketball,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,12,1,?,1,1,NO,15400,12600,42690,Mercedes,2014,N,2005
185,20,IN,A,500,506.36,2000000,MALE,MD,camping,Multi-vehicle Collision,Front Collision,Major Damage,Fire,OH,3,2,YES,1,1,YES,11200,7300,25600,Nissan,2006,N,2007
123,28,OH,B,1000,760.62,1000000,FEMALE,PhD,paintball,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NC,23,1,YES,1,1,YES,1010,7970,2910,Toyota,2011,N,2002
117,37,IN,B,2000,1611.43,0,MALE,MD,cross-fit,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,WV,5,1,YES,2,3,NO,5880,14110,26000,Toyota,2008,N,2000
109,39,IN,B,1000,1195.13,0,FEMALE,JD,kayaking,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,10,4,?,1,2,YES,10100,12100,75520,Chevrolet,2004,N,1991
395,57,IL,C,2000,602.59,4000000,MALE,College,chess,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,14,4,?,0,1,YES,0,4500,48600,Suburu,2013,N,1998
158,49,IL,C,1000,1192.22,2000000,MALE,High School,bungie-jumping,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,9,1,NO,0,3,YES,9500,6740,29720,BMW,2008,N,2014
129,46,IN,C,500,1210.66,1000000,MALE,Masters,kayaking,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,8,1,NO,0,1,NO,12130,10100,52700,Saab,2010,N,2014
80,37,IN,C,2000,1097.56,2000000,MALE,Masters,golf,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,23,4,YES,0,3,YES,13000,10650,50980,Toyota,1997,N,1996
233,44,IN,C,1000,743.15,0,MALE,High School,basketball,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NC,5,3,?,0,3,NO,190,3890,39820,Volkswagen,2002,N,2005
477,64,IN,C,2000,1099.97,0,MALE,Masters,bungie-jumping,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,5,2,YES,2,4,NO,6100,14800,54240,Nissan,2015,N,2003
142,42,OH,A,500,1397.69,0,MALE,Associate,reading,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,20,2,YES,1,3,NO,620,9400,14050,Nissan,2002,N,2010
66,24,OH,C,500,1152.6,3000000,FEMALE,PhD,reading,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,2,1,?,2,2,NO,8950,12720,60600,Volkswagen,2011,N,2002
58,38,OH,B,500,1333.38,7000000,MALE,College,golf,Single Vehicle Collision,Rear Collision,Minor Damage,Other,NC,6,1,NO,1,3,NO,7700,13550,12740,BMW,2006,N,2005
211,53,IL,B,2000,896.52,1000000,MALE,College,reading,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,23,3,YES,2,2,YES,7320,14410,69900,Audi,2003,N,2006
406,50,IL,C,2000,1600.73,3000000,FEMALE,Masters,exercise,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,7,2,?,2,4,YES,15600,12400,41100,Chevrolet,1993,N,2003
70,41,IL,B,500,818.09,7000000,MALE,College,camping,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,5,1,NO,1,2,YES,7100,8500,57000,BMW,2003,N,2012
138,31,IN,A,1000,1016.2,0,FEMALE,JD,exercise,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,10,1,NO,1,1,NO,10520,6280,47600,Accura,2014,N,2001
195,42,IL,A,2000,1240.41,0,FEMALE,Masters,sleeping,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,VA,18,3,NO,2,2,NO,12030,5100,22400,Volkswagen,2003,N,2005
255,32,IL,C,500,1533.26,0,FEMALE,Masters,golf,Multi-vehicle Collision,Side Collision,Minor Damage,Other,NY,20,2,YES,0,2,YES,6300,15370,44000,Nissan,2007,N,2003
113,44,IL,B,1000,738.6,0,MALE,High School,paintball,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,1,2,?,0,0,NO,16460,9850,34980,Nissan,1998,N,1994
284,49,OH,C,500,793.12,0,FEMALE,Masters,exercise,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,8,3,NO,2,1,NO,5390,1700,63700,BMW,2013,N,2009
259,43,IN,B,500,1480.46,9000000,MALE,MD,movies,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,5,3,?,0,2,YES,3010,6420,39560,Jeep,2004,N,2009
307,58,IL,C,1000,1009.42,2000000,MALE,JD,basketball,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,20,2,NO,0,4,NO,8300,4300,49200,Honda,1997,N,1993
110,46,OH,B,500,1335.84,2000000,FEMALE,Associate,golf,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,15,3,NO,2,1,NO,10580,8480,48250,Audi,1998,N,1995
160,50,OH,B,500,1239.07,0,FEMALE,College,exercise,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,23,1,NO,2,2,NO,4500,340,17800,Jeep,2008,N,2008
283,44,IL,C,2000,1367.91,0,MALE,MD,movies,Single Vehicle Collision,Side Collision,Minor Damage,Fire,WV,13,1,?,2,3,NO,10360,5750,67500,Honda,2010,N,2006
269,43,IN,A,500,577.66,0,MALE,Masters,kayaking,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NY,5,3,NO,1,0,NO,10700,6300,29500,Toyota,2006,N,2005
84,26,OH,C,500,900.78,3000000,MALE,Masters,golf,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,0,3,NO,0,4,YES,7840,14390,51700,Accura,1998,N,1994
102,30,OH,C,500,1517.82,0,FEMALE,High School,movies,Multi-vehicle Collision,Side Collision,Total Loss,Other,VA,18,3,YES,3,0,YES,1600,6200,68900,Saab,2009,N,2002
62,32,IN,C,500,1539.23,1000000,MALE,PhD,basketball,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,15,1,YES,2,3,NO,7700,10600,39210,Volkswagen,1998,N,1998
400,46,OH,B,2000,1296.14,0,FEMALE,Masters,video-games,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,10,1,YES,1,3,NO,7500,13700,64800,Jeep,2015,N,1995
57,28,OH,A,500,1299.67,4000000,MALE,College,hiking,Single Vehicle Collision,Side Collision,Total Loss,Fire,NC,22,2,?,0,0,YES,0,10110,65980,Ford,2000,N,2001
135,38,IN,A,2000,1163.76,0,FEMALE,Masters,camping,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,2,3,NO,0,1,YES,7800,6000,31630,Chevrolet,2001,N,2007
451,54,IN,A,2000,1080.38,0,MALE,JD,movies,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,21,3,?,1,2,YES,11530,1800,29600,Mercedes,1999,N,1997
420,50,IL,C,2000,805.53,2000000,MALE,JD,sleeping,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,14,3,YES,1,2,YES,17300,15400,45410,Nissan,2008,N,1993
187,38,OH,A,2000,1477.59,0,MALE,MD,reading,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,4,1,NO,1,2,NO,8200,9500,42600,Toyota,2005,N,1990
171,35,IL,B,2000,2102.12,0,FEMALE,MD,dancing,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,2,2,?,0,2,NO,16000,6900,57810,Accura,1995,N,2010
179,41,IL,B,2000,1941.67,0,FEMALE,JD,base-jumping,Single Vehicle Collision,Side Collision,Total Loss,Fire,NC,11,1,?,3,2,NO,18900,1350,60930,Audi,2013,N,1998
192,33,IN,B,1000,937.95,1000000,MALE,College,dancing,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,2,1,YES,1,1,YES,14200,3400,15700,Nissan,2006,N,2011
411,57,IL,B,1000,1361.07,0,MALE,Masters,bungie-jumping,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,13,1,YES,2,0,NO,4040,11470,34900,Honda,2015,N,2005
113,26,OH,A,2000,1050.95,6000000,FEMALE,High School,movies,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NY,14,4,NO,0,4,YES,19550,18970,43390,Jeep,1995,N,2006
134,31,IN,C,2000,1427.64,2000000,MALE,Masters,golf,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,23,3,YES,0,3,YES,14800,23900,54470,Toyota,2010,N,1996
356,55,IL,A,1000,981.77,5000000,MALE,MD,reading,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,5,2,NO,1,1,NO,14000,12540,46900,Jeep,1993,N,2013
234,40,OH,A,1000,993.64,2000000,FEMALE,High School,base-jumping,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,12,3,NO,1,2,YES,5900,6120,49220,Honda,2002,N,2014
